,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
959,ProptigerCity Expert â§ AGENT4.81 Rating,4 BHK,Apartment,Sahakar,Bangalore,2470 ,"7,350", 1.81 Cr,Under Construction, â§ AGENT
960,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Sahakar,Bangalore,1985 ,"7,350", 1.8 Cr,Under Construction, â§ AGENT
961,ProptigerCity Expert â§ AGENT4.81 Rating,4 BHK,Apartment,Sahakar,Bangalore,2790 ,"7,350", 2.05 Cr,Under Construction, â§ AGENT
962,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1670 ,"5,040", 84.16 L,Under Construction, â§ AGENT
963,ProptigerCity Expert â§ AGENT4.81 Rating,4 BHK,Apartment,Budigere,Bangalore,2437 ,"5,040", 1.22 Cr,Under Construction, â§ AGENT
964,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Sahakar,Bangalore,1320 ,"7,350", 97.02 L,Under Construction, â§ AGENT
965,ProptigerCity Expert â§ AGENT4.81 Rating,4 BHK,Apartment,Budigere,Bangalore,2440 ,"5,040", 1.22 Cr,Under Construction, â§ AGENT
966,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
967,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
968,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
969,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
970,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
971,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
972,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
973,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
974,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
975,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
976,Prop UrbanAGENT4.5,1 BHK,Apartment,Dasarahalli,Bangalore,1086 ,"5,709", 62 L,Under Construction,AGENT
977,Prop UrbanAGENT4.5,1 BHK,Apartment,Dasarahalli,Bangalore,1086 ,"5,709", 62 L,Under Construction,AGENT
978,Prop UrbanAGENT4.5,1 BHK,Apartment,Dasarahalli,Bangalore,1086 ,"5,709", 62 L,Under Construction,AGENT
979,Prop UrbanAGENT4.5,2 BHK,Apartment,Krishnarajapura,Bangalore,1629 ,"6,114", 99.6 L,Ready to move,AGENT
980,Prop UrbanAGENT4.5,1 BHK,Apartment,Krishnarajapura,Bangalore,1314 ,"5,929", 77.92 L,Ready to move,AGENT
981,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Chikkagubbi,Bangalore,1165 ,"4,750", 77.45 L,Ready to move, â§ AGENT
982,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Chikkagubbi,Bangalore,1402 ,"4,750", 91.22 L,Ready to move, â§ AGENT
983,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Chikkagubbi,Bangalore,1446 ,"4,750", 94.08 L,Ready to move, â§ AGENT
984,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Chikkagubbi,Bangalore,1561 ,"5,225", 1.05 Cr,Ready to move, â§ AGENT
985,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Chikkagubbi,Bangalore,1180 ,"5,225", 81.07 L,Ready to move, â§ AGENT
986,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Chikkagubbi,Bangalore,1450 ,"5,225", 98.28 L,Ready to move, â§ AGENT
987,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1205 ,"5,090", 61.33 L,Under Construction, â§ AGENT
988,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1520 ,"5,090", 77.36 L,Under Construction, â§ AGENT
989,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1499 ,"5,040", 75.54 L,Under Construction, â§ AGENT
990,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1650 ,"5,040", 83.16 L,Under Construction, â§ AGENT
991,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1102 ,"5,090", 56.09 L,Under Construction, â§ AGENT
992,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1316 ,"5,090", 66.98 L,Under Construction, â§ AGENT
993,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1446 ,"5,040", 72.87 L,Under Construction, â§ AGENT
994,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1470 ,"5,040", 74.08 L,Under Construction, â§ AGENT
995,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1592 ,"5,040", 80.23 L,Under Construction, â§ AGENT
996,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1170 ,"5,090", 59.55 L,Under Construction, â§ AGENT
997,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1190 ,"5,090", 60.57 L,Under Construction, â§ AGENT
998,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1490 ,"5,040", 75.09 L,Under Construction, â§ AGENT
999,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1510 ,"5,040", 76.1 L,Under Construction, â§ AGENT
1000,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1148 ,"5,090", 58.43 L,Under Construction, â§ AGENT
1001,ProptigerCity Expert â§ AGENT4.81 Rating,1 BHK,Apartment,Budigere,Bangalore,758 ,"4,940", 37.44 L,Under Construction, â§ AGENT
1002,ProptigerCity Expert â§ AGENT4.81 Rating,1 BHK,Apartment,Budigere,Bangalore,719 ,"4,940", 35.51 L,Under Construction, â§ AGENT
1003,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1516 ,"5,090", 77.16 L,Under Construction, â§ AGENT
1004,ProptigerCity Expert â§ AGENT4.81 Rating,1 BHK,Apartment,Budigere,Bangalore,720 ,"4,940", 35.56 L,Under Construction, â§ AGENT
1005,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1150 ,"5,090", 58.53 L,Under Construction, â§ AGENT
1006,ProptigerCity Expert â§ AGENT4.81 Rating,2 BHK,Apartment,Budigere,Bangalore,1500 ,"5,090", 76.35 L,Under Construction, â§ AGENT
1007,ProptigerCity Expert â§ AGENT4.81 Rating,3 BHK,Apartment,Budigere,Bangalore,1500 ,"5,040", 75.6 L,Under Construction, â§ AGENT
1008,Chandra BabuAGENT0,2 BHK,Apartment,Hosur,Bangalore,854 ,"2,927", 25 L,Ready to move,AGENT
1009,Chandra BabuAGENT0,2 BHK,Apartment,Hosur,Bangalore,991 ,"2,875", 28.5 L,Ready to move,AGENT
1010,user5475OWNER,5 BHK,Independent,kamakshipalya,Bangalore,1800 ,"3,888", 70 L,Ready to move,OWNER
1011,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1835 ,"6,500", 1.27 Cr,Ready to move,AGENT
1012,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1800 ,"6,500", 1.17 Cr,Ready to move,AGENT
1013,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1850 ,"6,500", 1.2 Cr,Ready to move,AGENT
1014,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1605 ,"6,500", 1.11 Cr,Ready to move,AGENT
1015,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,1205 ,"6,500", 78.32 L,Ready to move,AGENT
1016,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,955 ,"6,500", 62.07 L,Ready to move,AGENT
1017,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1316 ,"6,500", 85.54 L,Ready to move,AGENT
1018,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,1079 ,"6,500", 70.13 L,Ready to move,AGENT
1019,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1331 ,"6,500", 86.51 L,Ready to move,AGENT
1020,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1287 ,"6,500", 83.65 L,Ready to move,AGENT
1021,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1249 ,"6,500", 81.18 L,Ready to move,AGENT
1022,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,992 ,"6,500", 64.48 L,Ready to move,AGENT
1023,ProptigerAGENT0,3 BHK,Apartment,Vijayanagar,Bangalore,1595 ,"6,500", 1.03 Cr,Ready to move,AGENT
1024,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,1240 ,"6,500", 80.6 L,Ready to move,AGENT
1025,ProptigerAGENT0,2 BHK,Apartment,Vijayanagar,Bangalore,955 ,"6,500", 62.07 L,Ready to move,AGENT
1026,ProptigerAGENT0,2 BHK,Apartment,Subramanyapura,Bangalore,1200 ,"5,390", 64.68 L,Ready to move,AGENT
1027,ProptigerAGENT0,2 BHK,Apartment,Subramanyapura,Bangalore,1184 ,"5,390", 63.81 L,Ready to move,AGENT
1028,ProptigerAGENT0,2 BHK,Apartment,Subramanyapura,Bangalore,1180 ,"5,390", 63.6 L,Ready to move,AGENT
1029,ProptigerAGENT0,2 BHK,Apartment,Subramanyapura,Bangalore,1173 ,"5,390", 63.22 L,Ready to move,AGENT
1030,ProptigerAGENT0,2 BHK,Apartment,Subramanyapura,Bangalore,1167 ,"5,390", 62.9 L,Ready to move,AGENT
1031,nethraOWNER,2 BHK,Villa,Whitefield,Bangalore,1300 ,"4,500", 58.5 L,Under Construction,OWNER
1032,ProptigerAGENT0,3 BHK,Apartment,RR,Bangalore,1611 ,"5,200", 1.13 Cr,Ready to move,AGENT
1033,professional property consultantsAGENT0,5 BHK,Independent,Ramamurthy,Bangalore,2200 ,"5,454", 1.2 Cr,Ready to move,AGENT
1034,professional property consultantsAGENT0,3 BHK,Independent,Kammanahalli,Bangalore,2800 ,"16,964", 4.75 Cr,Ready to move,AGENT
1035,ProptigerAGENT0,3 BHK,Apartment,Vasanth,Bangalore,3503 ,"21,000", 8.93 Cr,Ready to move,AGENT
1036,ProptigerAGENT0,3 BHK,Apartment,Vasanth,Bangalore,3489 ,"21,000", 8.9 Cr,Ready to move,AGENT
1037,ProptigerAGENT0,3 BHK,Apartment,Vasanth,Bangalore,3600 ,"21,000", 7.56 Cr,Ready to move,AGENT
1038,ProptigerAGENT0,4 BHK,Apartment,Kodihalli,Bangalore,3817 ,"21,232", 8.1 Cr,Ready to move,AGENT
1039,ProptigerAGENT0,4 BHK,Apartment,Thanisandra,Bangalore,2325 ,"9,247", 2.14 Cr,Under Construction,AGENT
1040,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2016 ,"8,602", 1.73 Cr,Under Construction,AGENT
1041,ProptigerAGENT0,4 BHK,Apartment,Thanisandra,Bangalore,1989 ,"9,247", 1.83 Cr,Under Construction,AGENT
1042,ProptigerAGENT0,2 BHK,Apartment,Bagaluru,Bangalore,1272 ,"6,833", 86.91 L,Under Construction,AGENT
1043,ProptigerAGENT0,3 BHK,Apartment,Bommanahalli,Bangalore,1885 ,"6,200", 1.16 Cr,Under Construction,AGENT
1044,ProptigerAGENT0,3 BHK,Apartment,Bommanahalli,Bangalore,1615 ,"5,900", 1.08 Cr,Under Construction,AGENT
1045,professional property consultantsAGENT0,6 BHK,Independent,Kasturi,Bangalore,2400 ,"22,916", 5.5 Cr,Ready to move,AGENT
1046,professional property consultantsAGENT0,3 BHK,Independent,OMBR,Bangalore,1800 ,"5,500", 99 L,Ready to move,AGENT
1047,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1744 ,"5,100", 88.94 L,Under Construction,AGENT
1048,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1801 ,"4,949", 93.51 L,Under Construction,AGENT
1049,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1371 ,"4,949", 73.32 L,Under Construction,AGENT
1050,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1361 ,"4,949", 72.85 L,Under Construction,AGENT
1051,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1700 ,"4,949", 84.13 L,Under Construction,AGENT
1052,ProptigerAGENT0,3 BHK,Apartment,Krishnarajapura,Bangalore,1450 ,"4,949", 71.76 L,Under Construction,AGENT
1053,Kanasu Propertie'sAGENT0,4 BHK,Independent,byatarayanapura,Bangalore,4400 ,"4,318", 1.9 Cr,Ready to move,AGENT
1054,ProptigerAGENT0,4 BHK,Apartment,Thanisandra,Bangalore,2325 ,"9,247", 2.14 Cr,Under Construction,AGENT
1055,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2022 ,"8,602", 1.73 Cr,Under Construction,AGENT
1056,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2182 ,"8,602", 1.87 Cr,Under Construction,AGENT
1057,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2181 ,"8,602", 1.87 Cr,Under Construction,AGENT
1058,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2016 ,"8,602", 1.73 Cr,Under Construction,AGENT
1059,ProptigerAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,1680 ,"8,602", 1.44 Cr,Under Construction,AGENT
1060,user6465OWNER,2 BHK,VillaThavarekere,Thavarekere,Bangalore,800 ,"5,000", 40 L,Under Construction,OWNER
1061,user7957OWNER,2 BHK,ApartmentElectronics,Electronics,Bangalore,1200 ,"15,750", 1.89 Cr,Ready to move,OWNER
1062,SowmyaOWNER,3 BHK,Apartment,Kasavanahalli,Bangalore,1035 ,"6,763", 70 L,Ready to move,OWNER
1063,ShivaniOWNER,3 BHK,VillaWhitefield,Whitefield,Bangalore,1200 ,"6,213", 74.56 L,Under Construction,OWNER
1064,amarnathOWNER,2 BHK,Apartment,Chandapura,Bangalore,858 ,"4,312", 37 L,Under Construction,OWNER
1065,user9933OWNER,2 BHK,Independent,Electronics,Bangalore,1500 ,"5,120", 76.8 L,Under Construction,OWNER
1066,user4401OWNER,3 BHK,Independent,Whitefield,Bangalore,1315 ,"5,517", 72.56 L,Under Construction,OWNER
1067,user4401OWNER,4 BHK,Independent,Whitefield,Bangalore,1945 ,"4,884", 95 L,Under Construction,OWNER
1068,user4401OWNER,4 BHK,Independent,Whitefield,Bangalore,1945 ,"4,884", 95 L,Under Construction,OWNER
1069,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1070,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1071,user4401OWNER,3 BHK,Independent,Whitefield,Bangalore,1315 ,"5,517", 72.56 L,Under Construction,OWNER
1072,adwikaOWNER,3 BHK,Apartment,Sarjapur,Bangalore,1440 ,"5,902", 85 L,Under Construction,OWNER
1073,user4401OWNER,4 BHK,Independent,Whitefield,Bangalore,1945 ,"4,884", 95 L,Under Construction,OWNER
1074,user4401OWNER,3 BHK,Independent,Whitefield,Bangalore,1315 ,"5,517", 72.56 L,Under Construction,OWNER
1075,user9259OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,2410 ,"5,477", 1.32 Cr,Under Construction,OWNER
1076,adwikaOWNER,3 BHK,Apartment,Sarjapur,Bangalore,1440 ,"5,902", 85 L,Under Construction,OWNER
1077,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1078,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1079,user5974OWNER,3 BHK,VillaThanisandra,Thanisandra,Bangalore,1350 ,"5,185", 70 L,Under Construction,OWNER
1080,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1081,user8140OWNER,3 BHK,Apartment,Kogilu,Bangalore,1525 ,"5,901", 90 L,Under Construction,OWNER
1082,user8140OWNER,3 BHK,Apartment,Kogilu,Bangalore,1525 ,"5,901", 90 L,Under Construction,OWNER
1083,user5872OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1315 ,"5,475", 72 L,Under Construction,OWNER
1084,user9262OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1645 ,"5,471", 90 L,Under Construction,OWNER
1085,user2372OWNER,2 BHK,ApartmentKrishnarajapura,Krishnarajapura,Bangalore,1228 ,"5,293", 65 L,Under Construction,OWNER
1086,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1087,user5872OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1315 ,"5,475", 72 L,Under Construction,OWNER
1088,user9262OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1645 ,"5,471", 90 L,Under Construction,OWNER
1089,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1090,user9262OWNER,4 BHK,VillaSarjapur,Sarjapur,Bangalore,2360 ,"5,466", 1.29 Cr,Under Construction,OWNER
1091,user9262OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1645 ,"5,471", 90 L,Under Construction,OWNER
1092,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1093,Anitha KOWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1315 ,"5,513", 72.5 L,Under Construction,OWNER
1094,user2372OWNER,2 BHK,ApartmentKrishnarajapura,Krishnarajapura,Bangalore,1228 ,"5,293", 65 L,Under Construction,OWNER
1095,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1096,user5974OWNER,3 BHK,VillaThanisandra,Thanisandra,Bangalore,1350 ,"5,185", 70 L,Under Construction,OWNER
1097,user9262OWNER,4 BHK,VillaSarjapur,Sarjapur,Bangalore,2360 ,"5,466", 1.29 Cr,Under Construction,OWNER
1098,user9262OWNER,4 BHK,VillaSarjapur,Sarjapur,Bangalore,2360 ,"5,466", 1.29 Cr,Under Construction,OWNER
1099,Lokesh naiduOWNER,2 BHK,Apartment,Banaswadi,Bangalore,1355 ,"4,797", 65 L,Ready to move,OWNER
1100,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1101,Lokesh naiduOWNER,2 BHK,Apartment,Banaswadi,Bangalore,1355 ,"4,797", 65 L,Ready to move,OWNER
1102,user9262OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1645 ,"5,471", 90 L,Under Construction,OWNER
1103,user2372OWNER,2 BHK,ApartmentKrishnarajapura,Krishnarajapura,Bangalore,1228 ,"5,293", 65 L,Under Construction,OWNER
1104,adwikaOWNER,3 BHK,Apartment,Sarjapur,Bangalore,1440 ,"5,902", 85 L,Under Construction,OWNER
1105,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1106,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1107,user4401OWNER,4 BHK,Independent,Whitefield,Bangalore,1945 ,"4,884", 95 L,Under Construction,OWNER
1108,adwayaOWNER,3 BHK,Villa,Chandapura,Bangalore,2163 ,"5,056", 1.09 Cr,Under Construction,OWNER
1109,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1110,Lokesh naiduOWNER,2 BHK,Apartment,Banaswadi,Bangalore,1355 ,"4,797", 65 L,Ready to move,OWNER
1111,Lokesh naiduOWNER,2 BHK,Apartment,Banaswadi,Bangalore,1355 ,"4,797", 65 L,Ready to move,OWNER
1112,user5974OWNER,4 BHK,VillaThanisandra,Thanisandra,Bangalore,2360 ,"4,237", 1 Cr,Under Construction,OWNER
1113,user5974OWNER,3 BHK,VillaThanisandra,Thanisandra,Bangalore,1350 ,"5,185", 70 L,Under Construction,OWNER
1114,user9262OWNER,4 BHK,VillaSarjapur,Sarjapur,Bangalore,2360 ,"5,466", 1.29 Cr,Under Construction,OWNER
1115,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1116,user4401OWNER,4 BHK,Independent,Whitefield,Bangalore,1945 ,"4,884", 95 L,Under Construction,OWNER
1117,adwikaOWNER,3 BHK,Apartment,Sarjapur,Bangalore,1440 ,"5,902", 85 L,Under Construction,OWNER
1118,adwayaOWNER,3 BHK,Villa,Chandapura,Bangalore,2690 ,"5,269", 1.41 Cr,Under Construction,OWNER
1119,user9262OWNER,4 BHK,VillaSarjapur,Sarjapur,Bangalore,2360 ,"5,466", 1.29 Cr,Under Construction,OWNER
1120,user5974OWNER,4 BHK,VillaThanisandra,Thanisandra,Bangalore,2360 ,"4,237", 1 Cr,Under Construction,OWNER
1121,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1122,user9262OWNER,3 BHK,VillaSarjapur,Sarjapur,Bangalore,1645 ,"5,471", 90 L,Under Construction,OWNER
1123,user5974OWNER,4 BHK,VillaThanisandra,Thanisandra,Bangalore,2360 ,"4,237", 1 Cr,Under Construction,OWNER
1124,Lokesh naiduOWNER,2 BHK,Apartment,Banaswadi,Bangalore,1355 ,"4,797", 65 L,Ready to move,OWNER
1125,user3979OWNER,1 BHK,Independent,Maruthi,Bangalore,600 ,"2,500", 15 L,Under Construction,OWNER
1126,user0414OWNER,2 BHK,Independent,Kaval,Bangalore,2600 ,"4,807", 1.25 Cr,Ready to move,OWNER
1127,meeraOWNER,3 BHK,Independent,Whitefield,Bangalore,1200 ,"6,046", 72.56 L,Under Construction,OWNER
1128,user5974OWNER,4 BHK,VillaThanisandra,Thanisandra,Bangalore,2360 ,"4,237", 1 Cr,Under Construction,OWNER
1129,Yes PropertyAGENT0,3 BHK,Apartment,Varthur,Bangalore,1800 ,"5,555", 1 Cr,Under Construction,AGENT
1130,sellerVERIFIED OWNER,2 BHK,Apartment,ITPL,Bangalore,1000 ,"4,200", 42 L,Ready to move,VERIFIED OWNER
1131,sellerVERIFIED OWNER,2 BHK,Apartment,ITPL,Bangalore,1000 ,"4,200", 42 L,Ready to move,VERIFIED OWNER
1132,user0038OWNER,2 BHK,Apartment,Sarjapur,Bangalore,920 ,"6,195", 57 L,Ready to move,OWNER
1133,Brick TipAGENT0,3 BHK,Apartment,Thanisandra,Bangalore,2181 ,"8,603", 1.87 Cr,Under Construction,AGENT
1134,RiteshAGENT0,2 BHK,Apartment,Krishnarajapura,Bangalore,1136 ,"5,770", 65.49 L,Under Construction,AGENT
1135,pushpaOWNER,7 BHK,Independent,Uttarahalli,Bangalore,2800 ,"4,107", 1.15 Cr,Ready to move,OWNER
1136,ProptigerAGENT0,3 BHK,Apartment,Subramanyapura,Bangalore,1720 ,"6,140", 1.05 Cr,Ready to move,AGENT
1137,ProptigerAGENT0,4 BHK,Apartment,Marathahalli,Bangalore,4600 ,"9,590", 4.41 Cr,Ready to move,AGENT
1138,ProptigerAGENT0,4 BHK,Apartment,Marathahalli,Bangalore,3280 ,"9,590", 3.14 Cr,Ready to move,AGENT
1139,ProptigerAGENT0,4 BHK,Apartment,Whitefield,Bangalore,5576 ,"9,715", 5.41 Cr,Ready to move,AGENT
1140,ProptigerAGENT0,4 BHK,Apartment,Whitefield,Bangalore,4041 ,"9,715", 3.92 Cr,Ready to move,AGENT
1141,ProptigerAGENT0,4 BHK,Apartment,Whitefield,Bangalore,4041 ,"10,449", 4.22 Cr,Ready to move,AGENT
1142,ProptigerAGENT0,4 BHK,Apartment,Whitefield,Bangalore,4021 ,"9,715", 3.9 Cr,Ready to move,AGENT
1143,ProptigerAGENT0,3 BHK,Apartment,Kogilu,Bangalore,1934 ,"6,331", 1.22 Cr,Under Construction,AGENT
1144,ProptigerAGENT0,2 BHK,Apartment,Kogilu,Bangalore,1480 ,"6,331", 93.69 L,Under Construction,AGENT
1145,ProptigerAGENT0,2 BHK,Apartment,Kogilu,Bangalore,1450 ,"6,331", 91.79 L,Under Construction,AGENT
1146,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1110 ,"4,500", 49.95 L,Ready to move,AGENT
1147,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1044 ,"4,500", 46.98 L,Ready to move,AGENT
1148,NSR VenturesAGENT0,3 BHK,Apartment,Whitefield,Bangalore,1411 ,"4,500", 63.49 L,Ready to move,AGENT
1149,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1043 ,"4,500", 46.93 L,Ready to move,AGENT
1150,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1121 ,"4,500", 50.44 L,Ready to move,AGENT
1151,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1129 ,"4,500", 50.8 L,Ready to move,AGENT
1152,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1091 ,"4,500", 49.09 L,Ready to move,AGENT
1153,NSR VenturesAGENT0,3 BHK,Apartment,Whitefield,Bangalore,1530 ,"4,500", 68.85 L,Ready to move,AGENT
1154,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1071 ,"4,500", 48.19 L,Ready to move,AGENT
1155,NSR VenturesAGENT0,3 BHK,Apartment,Whitefield,Bangalore,1495 ,"4,500", 67.27 L,Ready to move,AGENT
1156,NSR VenturesAGENT0,2 BHK,Apartment,Whitefield,Bangalore,1036 ,"4,500", 46.62 L,Ready to move,AGENT
1157,NSR VenturesAGENT0,3 BHK,Apartment,Whitefield,Bangalore,1333 ,"4,500", 59.98 L,Ready to move,AGENT
1158,PrashantOWNER,3 BHK,Apartment,Jalahalli,Bangalore,1400 ,"4,107", 57.5 L,Ready to move,OWNER
1159,Epcot Downtown Ventures pvt ltdAGENT0,3 BHK,Apartment,Sarjapur,Bangalore,1554 ,"6,196", 96.29 L,Under Construction,AGENT
1160,Epcot Downtown Ventures pvt ltdAGENT0,3 BHK,Apartment,Sarjapur,Bangalore,1439 ,"6,227", 89.61 L,Under Construction,AGENT
