,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1787,ProptigerAGENT0,3 BHK,Apartment,Perungalathur,Chennai,1730 ,"4,995", 86.41 L,Under Construction,AGENT
1788,ProptigerAGENT0,3 BHK,Apartment,Perungalathur,Chennai,1890 ,"4,995", 94.4 L,Under Construction,AGENT
1789,ProptigerAGENT0,3 BHK,Apartment,Perungalathur,Chennai,2140 ,"4,995", 1.06 Cr,Under Construction,AGENT
1790,ProptigerAGENT0,2 BHK,Apartment,Perungalathur,Chennai,1080 ,"4,995", 75 L,Under Construction,AGENT
1791,ProptigerAGENT0,2 BHK,Apartment,Perungalathur,Chennai,1400 ,"4,995", 94 L,Under Construction,AGENT
1792,ProptigerAGENT0,3 BHK,Apartment,Perungalathur,Chennai,1800 ,"4,995", 1.2 Cr,Under Construction,AGENT
1793,Chennai propertiesBUILDER0,3 BHK,Apartment,Mahindra,Chennai,1550 ,"3,548", 55 L,Ready to move,BUILDER
1794,Raj HousingAGENT0,2 BHK,Villa,Poonamallee,Chennai,975 ,"7,076", 69 L,Ready to move,AGENT
1795,Raj HousingAGENT0,2 BHK,Apartment,Poonamallee,Chennai,700 ,"4,571", 31.99 L,Ready to move,AGENT
1796,Chennai propertiesBUILDER0,2 BHK,Villa,Minjur,Chennai,920 ,"2,934", 27 L,Under Construction,BUILDER
1797,VENKATESWARALU KOWNER,2 BHK,Apartment,Korattur,Chennai,656 ,"5,945", 39 L,Ready to move,OWNER
1798,sundarOWNER,4 BHK,Independent,Alandur,Chennai,2200 ,"5,681", 1.25 Cr,Ready to move,OWNER
1799,VenkatakrishnanAGENT0,6 BHK,Independent,T,Chennai,4650 ,"12,903", 6 Cr,Ready to move,AGENT
1800,Elite Estate RajkumarAGENT0,2 BHK,VillaVengambakkam,Vengambakkam,Chennai,1010 ,"4,426", 44.71 L,Under Construction,AGENT
1801,jaylakshmiBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,850 ,"3,518", 29.91 L,Under Construction,BUILDER
1802,jaylakshmiBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,683 ,"4,527", 30.92 L,Under Construction,BUILDER
1803,jaylakshmiBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,800 ,"2,875", 23 L,Under Construction,BUILDER
1804,AnbuchezhianAGENT0,3 BHK,Apartment,Ambattur,Chennai,1144 ,"6,381", 73 L,Under Construction,AGENT
1805,gopalakrishnaOWNER,2 BHK,Apartment,Kodambakkam,Chennai,1170 ,"8,547", 1 Cr,Ready to move,OWNER
1806,Raj HousingAGENT0,2 BHK,Villa,Poonamallee,Chennai,964 ,"7,157", 69 L,Ready to move,AGENT
1807,sellerVERIFIED OWNER,1 BHK,Apartment,Korattur,Chennai,576 ,"5,500", 31.68 L,Ready to move,VERIFIED OWNER
1808,rajeshOWNER,3 BHK,Apartment,Pallikaranai,Chennai,1115 ,"7,623", 85 L,Under Construction,OWNER
1809,KISHORE PROMOTORSBUILDER0,2 BHK,Apartment,Korattur,Chennai,835 ,"5,748", 48 L,Ready to move,BUILDER
1810,JLLAGENT0,2 BHK,Apartment,Gerugambakkam,Chennai,445 ,"5,838", 25.97 L,Ready to move,AGENT
1811,Raj HousingAGENT0,2 BHK,Independent,Poonamallee,Chennai,975 ,"7,087", 69.1 L,Ready to move,AGENT
1812,Raj HousingAGENT0,2 BHK,Villa,Poonamallee,Chennai,1375 ,"7,061", 97.1 L,Ready to move,AGENT
1813,sheik mohammedOWNER,4 BHK,Apartment,Madhavaram,Chennai,2289 ,"7,426", 1.7 Cr,Ready to move,OWNER
1814,vetrirealsBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,683 ,"4,557", 31.13 L,Under Construction,BUILDER
1815,AmitOWNER,1 BHK,Apartment,Singaperumal,Chennai,636 ,"5,817", 37 L,Ready to move,OWNER
1816,KM PROPERTYBUILDER0,3 BHK,Independent,Oragadam,Chennai,1800 ,"2,500", 45 L,Under Construction,BUILDER
1817,KM PROPERTYBUILDER0,2 BHK,Independent,Oragadam,Chennai,1444 ,"2,700", 39 L,Under Construction,BUILDER
1818,RajeshOWNER,2 BHK,Apartment,Ashok,Chennai,1085 ,"11,981", 1.3 Cr,Ready to move,OWNER
1819,Elite Estate RajkumarAGENT0,3 BHK,VillaKandigai,Kandigai,Chennai,1298 ,"3,876", 50.32 L,Under Construction,AGENT
1820,Elite Estate RajkumarAGENT0,2 BHK,VillaKandigai,Kandigai,Chennai,1256 ,"4,241", 53.27 L,Under Construction,AGENT
1821,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,986 ,"8,171", 80.56 L,Under Construction,AGENT
1822,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,986 ,"8,171", 80.56 L,Under Construction,AGENT
1823,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,920 ,"8,171", 75.17 L,Under Construction,AGENT
1824,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,920 ,"8,171", 75.17 L,Under Construction,AGENT
1825,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,986 ,"8,171", 80.56 L,Under Construction,AGENT
1826,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,986 ,"8,171", 80.56 L,Under Construction,AGENT
1827,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,920 ,"8,171", 75.17 L,Under Construction,AGENT
